Wavelength,Intensity
4.000000000000000000e+02,2.215388715660799335e+01
4.020100502512563025e+02,2.221494533015609463e+01
4.040201005025125482e+02,2.232442390179856062e+01
4.060301507537688508e+02,2.248210017945266870e+01
4.080402010050250965e+02,2.268765569115017655e+01
4.100502512562813990e+02,2.294064373406893509e+01
4.120603015075377016e+02,2.324052305700335097e+01
4.140703517587939473e+02,2.358664207045943328e+01
4.160804020100502498e+02,2.397819887017232432e+01
4.180904522613065524e+02,2.441431647216383638e+01
4.201005025125627981e+02,2.489397521848001560e+01
4.221105527638191006e+02,2.541605805608193691e+01
4.241206030150754032e+02,2.597929993153973882e+01
4.261306532663316489e+02,2.658232130432017115e+01
4.281407035175879514e+02,2.722362521070053987e+01
4.301507537688441971e+02,2.790159340869333704e+01
4.321608040201004997e+02,2.861445582446348723e+01
4.341708542713568022e+02,2.936034214209886528e+01
4.361809045226130479e+02,3.013724561180073636e+01
4.381909547738693504e+02,3.094303568910570235e+01
4.402010050251255961e+02,3.177545696979026602e+01
4.422110552763818987e+02,3.263214018807531858e+01
4.442211055276382012e+02,3.351058229429358448e+01
4.462311557788944469e+02,3.440820159956948743e+01
4.482412060301507495e+02,3.532226746217340008e+01
4.502512562814070520e+02,3.624998048505737103e+01
4.522613065326632977e+02,3.718842459788643851e+01
4.542713567839196003e+02,3.813461987690259747e+01
4.562814070351759028e+02,3.908550365033934781e+01
4.582914572864321485e+02,4.003792300741370269e+01
4.603015075376884511e+02,4.098871369076451998e+01
4.623115577889446968e+02,4.193461066351240163e+01
4.643216080402009993e+02,4.287236763710190246e+01
4.663316582914573019e+02,4.379874325995584883e+01
4.683417085427135476e+02,4.471041937666705479e+01
4.703517587939698501e+02,4.560414388890173143e+01
4.723618090452260958e+02,4.647664069937813025e+01
4.743718592964823983e+02,4.732476737744033102e+01
4.763819095477387009e+02,4.814540584877528318e+01
4.783919597989950034e+02,4.893541297021145908e+01
4.804020100502512491e+02,4.969193780489072054e+01
4.824120603015074948e+02,5.041202620827995418e+01
4.844221105527637974e+02,5.109302233257646009e+01
4.864321608040200999e+02,5.173231733558313294e+01
4.884422110552764025e+02,5.232740668154165320e+01
4.904522613065326482e+02,5.287610015554960796e+01
4.924623115577889507e+02,5.337622365939433422e+01
4.944723618090451964e+02,5.382595160254919620e+01
4.964824120603014990e+02,5.422357041829025803e+01
4.984924623115578015e+02,5.456755330793174608e+01
5.005025125628140472e+02,5.485657504160743514e+01
5.025125628140703498e+02,5.508969311055061269e+01
5.045226130653265955e+02,5.526613772978276984e+01
5.065326633165828980e+02,5.538525723856922411e+01
5.085427135678392006e+02,5.544680625468328827e+01
5.105527638190955031e+02,5.545078786022210693e+01
5.125628140703518056e+02,5.539730713759898606e+01
5.145728643216079945e+02,5.528674147129042638e+01
5.165829145728642970e+02,5.511972777325244977e+01
5.185929648241205996e+02,5.489714039478071328e+01
5.206030150753769021e+02,5.462004036405302543e+01
5.226130653266332047e+02,5.428971607196223204e+01
5.246231155778893935e+02,5.390768357169144309e+01
5.266331658291456961e+02,5.347567462843957742e+01
5.286432160804019986e+02,5.299554514621882362e+01
5.306532663316583012e+02,5.246938941129303657e+01
5.326633165829146037e+02,5.189941901751967634e+01
5.346733668341707926e+02,5.128798903998431058e+01
5.366834170854270951e+02,5.063760295228808417e+01
5.386934673366833977e+02,4.995086601187259134e+01
5.407035175879397002e+02,4.923050745971708153e+01
5.427135678391960028e+02,4.847928006044556071e+01
5.447236180904521916e+02,4.770002536202563448e+01
5.467336683417084942e+02,4.689564203927752573e+01
5.487437185929647967e+02,4.606903929803925024e+01
5.507537688442210992e+02,4.522312984232896582e+01
5.527638190954774018e+02,4.436083087931461932e+01
5.547738693467335906e+02,4.348504045483144154e+01
5.567839195979900069e+02,4.259861290533245892e+01
5.587939698492461957e+02,4.170436359197277909e+01
5.608040201005024983e+02,4.080504093093725970e+01
5.628140703517588008e+02,3.990330843227079782e+01
5.648241206030149897e+02,3.900175234731956664e+01
5.668341708542714059e+02,3.810285141239160112e+01
5.688442211055275948e+02,3.720899603694665814e+01
5.708542713567838973e+02,3.632243619621221598e+01
5.728643216080401999e+02,3.544532185678347957e+01
5.748743718592965024e+02,3.457966021452906347e+01
5.768844221105528050e+02,3.372731800154164006e+01
5.788944723618089938e+02,3.289005105201174217e+01
5.809045226130652964e+02,3.206944353300863781e+01
5.829145728643215989e+02,3.126695292180839658e+01
5.849246231155779014e+02,3.048389160695209199e+01
5.869346733668342040e+02,2.972143757889074323e+01
5.889447236180903928e+02,2.898060340550010849e+01
5.909547738693466954e+02,2.826229120983438392e+01
5.929648241206029979e+02,2.756724406470482691e+01
5.949748743718593005e+02,2.689609213696677514e+01
5.969849246231156030e+02,2.624931425092798776e+01
5.989949748743717919e+02,2.562728866316587784e+01
6.010050251256280944e+02,2.503025397758538517e+01
6.030150753768843970e+02,2.445836518943772120e+01
6.050251256281406995e+02,2.391165101057654141e+01
6.070351758793970021e+02,2.339003577266227296e+01
