Wavelength,Intensity
4.000000000000000000e+02,2.234970759774506632e+01
4.020100502512563025e+02,2.241089453357684391e+01
4.040201005025125482e+02,2.252061794098515080e+01
4.060301507537688508e+02,2.267868588082979997e+01
4.080402010050250965e+02,2.288474582928322576e+01
4.100502512562813990e+02,2.313836717857345349e+01
4.120603015075377016e+02,2.343898166027383567e+01
4.140703517587939473e+02,2.378593584303427022e+01
4.160804020100502498e+02,2.417843878362031873e+01
4.180904522613065524e+02,2.461558701207636446e+01
4.201005025125627981e+02,2.509635983382556290e+01
4.221105527638191006e+02,2.561960613711553947e+01
4.241206030150754032e+02,2.618406785841975548e+01
4.261306532663316489e+02,2.678835467619165911e+01
4.281407035175879514e+02,2.743095322950695802e+01
4.301507537688441971e+02,2.811021742554863323e+01
4.321608040201004997e+02,2.882437089468379199e+01
4.341708542713568022e+02,2.957155132885181814e+01
4.361809045226130479e+02,3.034971246308900206e+01
4.381909547738693504e+02,3.115672429154705725e+01
4.402010050251255961e+02,3.199029929418477636e+01
4.422110552763818987e+02,3.284806001853377211e+01
4.442211055276382012e+02,3.372749708253090262e+01
4.462311557788944469e+02,3.462599223331577747e+01
4.482412060301507495e+02,3.554083331996744732e+01
4.502512562814070520e+02,3.646919393191183190e+01
4.522613065326632977e+02,3.740814910654196268e+01
4.542713567839196003e+02,3.835468801232644154e+01
4.562814070351759028e+02,3.930574526326435603e+01
4.582914572864321485e+02,4.025817976916976448e+01
4.603015075376884511e+02,4.120876462261228568e+01
4.623115577889446968e+02,4.215431700073265375e+01
4.643216080402009993e+02,4.309153265630378371e+01
4.663316582914573019e+02,4.401713542366587717e+01
4.683417085427135476e+02,4.492784242953172935e+01
4.703517587939698501e+02,4.582037422505761270e+01
4.723618090452260958e+02,4.669148305386435283e+01
4.743718592964823983e+02,4.753801474119504888e+01
4.763819095477387009e+02,4.835678605663966323e+01
4.783919597989950034e+02,4.914476558505387516e+01
4.804020100502512491e+02,4.989904294768465576e+01
4.824120603015074948e+02,5.061674857309282771e+01
4.844221105527637974e+02,5.129513922052247210e+01
4.864321608040200999e+02,5.193158981937725827e+01
4.884422110552764025e+02,5.252373035557344139e+01
4.904522613065326482e+02,5.306927999917000704e+01
4.924623115577889507e+02,5.356611052470871925e+01
4.944723618090451964e+02,5.401240675613314579e+01
4.964824120603014990e+02,5.440637567494137983e+01
4.984924623115578015e+02,5.474661747500101683e+01
5.005025125628140472e+02,5.503191669858734514e+01
5.025125628140703498e+02,5.526113680192466404e+01
5.045226130653265955e+02,5.543356565507384914e+01
5.065326633165828980e+02,5.554869187451787127e+01
5.085427135678392006e+02,5.560620695830693450e+01
5.105527638190955031e+02,5.560608611276359170e+01
5.125628140703518056e+02,5.554841055798122795e+01
5.145728643216079945e+02,5.543372789002243195e+01
5.165829145728642970e+02,5.526260223363301805e+01
5.185929648241205996e+02,5.503588812206172065e+01
5.206030150753769021e+02,5.475464151720011330e+01
5.226130653266332047e+02,5.442031775301673235e+01
5.246231155778893935e+02,5.403429824892605637e+01
5.266331658291456961e+02,5.359838566217509737e+01
5.286432160804019986e+02,5.311443192910259370e+01
5.306532663316583012e+02,5.258449252316980704e+01
5.326633165829146037e+02,5.201084105353812248e+01
5.346733668341707926e+02,5.139582978121058687e+01
5.366834170854270951e+02,5.074196355312444950e+01
5.386934673366833977e+02,5.005185328256489186e+01
5.407035175879397002e+02,4.932820706104227781e+01
5.427135678391960028e+02,4.857379558055632174e+01
5.447236180904521916e+02,4.779145327001095467e+01
5.467336683417084942e+02,4.698407743279862103e+01
5.487437185929647967e+02,4.615457729738096049e+01
5.507537688442210992e+02,4.530586893373838819e+01
5.527638190954774018e+02,4.444086729323063167e+01
5.547738693467335906e+02,4.356244064539456673e+01
5.567839195979900069e+02,4.267347844593659545e+01
5.587939698492461957e+02,4.177675974748496657e+01
5.608040201005024983e+02,4.087503984336618146e+01
5.628140703517588008e+02,3.997097089673957271e+01
5.648241206030149897e+02,3.906713155233282464e+01
5.668341708542714059e+02,3.816599143465156629e+01
5.688442211055275948e+02,3.726994230252787332e+01
5.708542713567838973e+02,3.638120987733577039e+01
5.728643216080401999e+02,3.550196748177826578e+01
