Wavelength,Intensity
4.000000000000000000e+02,1.282691113902653335e+01
4.020000000000000000e+02,1.318446774236788777e+01
4.040000000000000000e+02,1.324650642162953318e+01
4.060000000000000000e+02,1.315540724219567359e+01
4.080000000000000000e+02,1.356443589964503360e+01
4.100000000000000000e+02,1.375719934078128759e+01
4.120000000000000000e+02,1.362556237933718783e+01
4.140000000000000000e+02,1.327322430636667860e+01
4.160000000000000000e+02,1.394054338706755480e+01
4.180000000000000000e+02,1.356212306767444886e+01
4.200000000000000000e+02,1.390154348711032739e+01
4.220000000000000000e+02,1.408545531044106269e+01
4.240000000000000000e+02,1.367046355373753030e+01
4.260000000000000000e+02,1.481393981462119847e+01
4.280000000000000000e+02,1.443659689318468686e+01
4.300000000000000000e+02,1.439417476422668862e+01
4.320000000000000000e+02,1.526632956173579991e+01
4.340000000000000000e+02,1.472810831652596519e+01
4.360000000000000000e+02,1.502895763362625026e+01
4.380000000000000000e+02,1.486564991186998164e+01
4.400000000000000000e+02,1.558298167390456967e+01
4.420000000000000000e+02,1.664342608515877941e+01
4.440000000000000000e+02,1.583827972478003865e+01
4.460000000000000000e+02,1.605788616440634797e+01
4.480000000000000000e+02,1.649552991032892635e+01
4.500000000000000000e+02,1.660580796061788789e+01
4.520000000000000000e+02,1.763236953952335995e+01
4.540000000000000000e+02,1.838041307418451353e+01
4.560000000000000000e+02,1.786902831239322964e+01
4.580000000000000000e+02,1.823160425882858249e+01
4.600000000000000000e+02,1.908500199867454938e+01
4.620000000000000000e+02,1.885755858714681210e+01
4.640000000000000000e+02,1.991044985369747167e+01
4.660000000000000000e+02,2.008746362220847814e+01
4.680000000000000000e+02,2.186472513251773009e+01
4.700000000000000000e+02,2.146924101186653289e+01
4.720000000000000000e+02,2.331234926729378998e+01
4.740000000000000000e+02,2.418778292021172405e+01
4.760000000000000000e+02,2.515910532812502254e+01
4.780000000000000000e+02,2.635779303233834270e+01
4.800000000000000000e+02,2.895324484090800610e+01
4.820000000000000000e+02,2.918897890040135579e+01
4.840000000000000000e+02,3.217789539591839088e+01
4.860000000000000000e+02,3.536369498833197866e+01
4.880000000000000000e+02,3.778953358585157929e+01
4.900000000000000000e+02,4.113750208743006453e+01
4.920000000000000000e+02,4.389844132068252947e+01
4.940000000000000000e+02,4.780308345357200039e+01
