Wavelength,Intensity
4.000000000000000000e+02,2.198602776481609311e+01
4.020100502512563025e+02,2.204532950912765799e+01
4.040201005025125482e+02,2.215130731166919631e+01
4.060301507537688508e+02,2.230379041937456819e+01
4.080402010050250965e+02,2.250246520275736017e+01
4.100502512562813990e+02,2.274695780038061699e+01
4.120603015075377016e+02,2.303676302913244811e+01
4.140703517587939473e+02,2.337131058548592222e+01
4.160804020100502498e+02,2.374990735596215075e+01
4.180904522613065524e+02,2.417174209497290960e+01
4.201005025125627981e+02,2.463592654166386353e+01
4.221105527638191006e+02,2.514143705522086236e+01
4.241206030150754032e+02,2.568716818362840115e+01
4.261306532663316489e+02,2.627188701381126990e+01
4.281407035175879514e+02,2.689424557484097278e+01
4.301507537688441971e+02,2.755278453209396616e+01
4.321608040201004997e+02,2.824592891754269530e+01
4.341708542713568022e+02,2.897202116281088280e+01
4.361809045226130479e+02,2.972923624302663725e+01
4.381909547738693504e+02,3.051567411464991153e+01
4.402010050251255961e+02,3.132929323125866716e+01
4.422110552763818987e+02,3.216795744092603826e+01
4.442211055276382012e+02,3.302942732836378781e+01
4.462311557788944469e+02,3.391133380403646669e+01
4.482412060301507495e+02,3.481124180384920663e+01
4.502512562814070520e+02,3.572660659531180727e+01
4.522613065326632977e+02,3.665479212903550632e+01
4.542713567839196003e+02,3.759307551101587563e+01
4.562814070351759028e+02,3.853866767817445549e+01
4.582914572864321485e+02,3.948871674324988135e+01
4.603015075376884511e+02,4.044029826027329477e+01
4.623115577889446968e+02,4.139050248017107947e+01
4.643216080402009993e+02,4.233631281755067022e+01
4.663316582914573019e+02,4.327472536488381394e+01
4.683417085427135476e+02,4.420272370760235248e+01
4.703517587939698501e+02,4.511728945425848281e+01
4.723618090452260958e+02,4.601541838107441151e+01
4.743718592964823983e+02,4.689419021900170037e+01
4.763819095477387009e+02,4.775064625038525179e+01
4.783919597989950034e+02,4.858195608561072021e+01
4.804020100502512491e+02,4.938538521196390718e+01
4.824120603015074948e+02,5.015823815635165772e+01
4.844221105527637974e+02,5.089791084234182961e+01
4.864321608040200999e+02,5.160190650456054584e+01
4.884422110552764025e+02,5.226794632804406149e+01
4.904522613065326482e+02,5.289382642070659557e+01
4.924623115577889507e+02,5.347747068275702986e+01
4.944723618090451964e+02,5.401707408005371036e+01
4.964824120603014990e+02,5.451084725185714319e+01
4.984924623115578015e+02,5.495734524445739311e+01
5.005025125628140472e+02,5.535529098503642587e+01
5.025125628140703498e+02,5.570345849666923499e+01
5.045226130653265955e+02,5.600100924450983797e+01
5.065326633165828980e+02,5.624727685221755280e+01
5.085427135678392006e+02,5.644177056858625008e+01
5.105527638190955031e+02,5.658425634967388618e+01
5.125628140703518056e+02,5.667458852710358030e+01
5.145728643216079945e+02,5.671303828421095972e+01
5.165829145728642970e+02,5.669989272788824053e+01
5.185929648241205996e+02,5.663569458586518124e+01
5.206030150753769021e+02,5.652117307377028510e+01
5.226130653266332047e+02,5.635741089671647330e+01
5.246231155778893935e+02,5.614543587994119633e+01
5.266331658291456961e+02,5.588664577920889087e+01
5.286432160804019986e+02,5.558248759732436639e+01
5.306532663316583012e+02,5.523459529993930062e+01
5.326633165829146037e+02,5.484480459465171265e+01
5.346733668341707926e+02,5.441502576624173315e+01
5.366834170854270951e+02,5.394730900983464750e+01
5.386934673366833977e+02,5.344380610968569556e+01
5.407035175879397002e+02,5.290676487299631248e+01
5.427135678391960028e+02,5.233849414168681591e+01
5.447236180904521916e+02,5.174136803407644436e+01
5.467336683417084942e+02,5.111782269448273297e+01
5.487437185929647967e+02,5.047031595828446626e+01
5.507537688442210992e+02,4.980131806821341911e+01
5.527638190954774018e+02,4.911330582357649632e+01
5.547738693467335906e+02,4.840872924512022735e+01
5.567839195979900069e+02,4.769005742867899755e+01
5.587939698492461957e+02,4.695967785204445022e+01
5.608040201005024983e+02,4.621995821120860626e+01
5.628140703517588008e+02,4.547318821585817972e+01
5.648241206030149897e+02,4.472159992277759955e+01
5.668341708542714059e+02,4.396733728481905246e+01
5.688442211055275948e+02,4.321248105748539103e+01
5.708542713567838973e+02,4.245897543136548791e+01
5.728643216080401999e+02,4.170872437417468603e+01
5.748743718592965024e+02,4.096346318481529636e+01
5.768844221105528050e+02,4.022485301393091817e+01
5.788944723618089938e+02,3.949442212133200059e+01
